filename	ann_id	label	start_span	end_span	text
es-S0210-56912007000900007-3	T1	SINTOMA	48	60	obnubilación
es-S0210-56912007000900007-3	T2	SINTOMA	100	115	dolor abdominal
es-S0210-56912007000900007-3	T3	SINTOMA	118	125	vómitos
es-S0210-56912007000900007-3	T4	SINTOMA	386	400	desorientación
es-S0210-56912007000900007-3	T5	SINTOMA	402	425	respiración de Kussmaul
es-S0210-56912007000900007-3	T6	SINTOMA	427	442	dolor abdominal
es-S0210-56912007000900007-3	T7	SINTOMA	657	701	aumento del tamaño de la cabeza del páncreas
es-S0210-56912007000900007-3	T8	SINTOMA	1315	1345	deposiciones mucosas repetidas
es-S0210-56912007000900007-3	T9	SINTOMA	481	498	defensa abdominal
es-S0210-56912007000900007-3	T10	SINTOMA	63	69	anuria
es-S0210-56912007000900007-3	T11	SINTOMA	447	466	peristaltismo débil
es-S0210-56912007000900007-3	T12	SINTOMA	575	590	hiperamilasemia
es-S0210-48062010000100019-3	T1	SINTOMA	92	120	dolor y distensión abdominal
es-S0210-48062010000100019-3	T2	SINTOMA	1077	1083	anuria
es-S0210-48062010000100019-3	T3	SINTOMA	876	906	sangrado en sábana de la pared
es-S0210-48062010000100019-3	T4	SINTOMA	290	299	hematuria
es-S0210-48062010000100019-3	T5	SINTOMA	466	491	líquido y gas perivesical
es-S0210-48062010000100019-3	T6	SINTOMA	1127	1133	exitus
es-S0210-48062010000100019-3	T7	SINTOMA	1086	1116	alteración hemodinámica severa
es-S1139-76322014000100010-1	T1	SINTOMA	1065	1071	fiebre
es-S1139-76322014000100010-1	T2	SINTOMA	1083	1111	dolor abdominal generalizado
es-S1139-76322014000100010-1	T3	SINTOMA	1116	1127	peritonismo
es-S1139-76322014000100010-1	T4	SINTOMA	1129	1136	vómitos
es-S1139-76322014000100010-1	T5	SINTOMA	1139	1146	diarrea
es-S1139-76322014000100010-1	T6	SINTOMA	144	159	dolor abdominal
es-S1139-76322014000100010-1	T7	SINTOMA	190	196	fiebre
es-S1139-76322014000100010-1	T8	SINTOMA	1198	1238	dilatación de asas del intestino delgado
es-S1139-76322014000100010-1	T9	SINTOMA	207	227	vómitos alimenticios
es-S1139-76322014000100010-1	T10	SINTOMA	230	256	diarrea con restos de moco
es-S1139-76322014000100010-1	T11	SINTOMA	290	340	dolor abdominal difuso, algo más en la fosa ilíaca
es-S1139-76322014000100010-1	T12	SINTOMA	1323	1360	leucocitosis con desviación izquierda
es-S1139-76322014000100010-1	T13	SINTOMA	1363	1398	elevación de la proteína C reactiva
es-S1139-76322014000100010-1	T14	SINTOMA	364	385	irritación peritoneal
es-S1139-76322014000100010-1	T15	SINTOMA	449	489	leve elevación de la proteína C reactiva
es-S1139-76322014000100010-1	T16	SINTOMA	953	998	apéndice cecal con leves signos inflamatorios
es-S1139-76322014000100010-1	T17	SINTOMA	1638	1691	coprocultivo, el cual informa de Campylobacter jejuni
es-S1139-76322014000100010-1	T18	SINTOMA	2008	2047	apéndice cecal con signos inflamatorios
es-S1130-05582008000200006-1	T1	SINTOMA	1391	1414	masa de tejidos blandos
es-S1130-05582008000200006-1	T2	SINTOMA	709	729	dolor a la palpación
es-S1130-05582008000200006-1	T3	SINTOMA	71	131	tumoración en región basal mandibular a nivel parasinfisario
es-S1130-05582008000200006-1	T4	SINTOMA	1180	1249	aumento de densidad ósea a nivel mandibular en región parasinfisiaria
es-S1130-05582008000200006-1	T5	SINTOMA	1308	1364	erosión de la cortical mandibular a nivel parasinfisario
es-S1130-05582008000200006-1	T6	SINTOMA	2391	2401	tumoración
es-S1130-05582017000200099-1	T1	SINTOMA	183	233	aumento de volumen en la encía vestibular inferior
es-S1130-05582017000200099-1	T2	SINTOMA	571	579	indoloro
es-S1130-05582017000200099-1	T3	SINTOMA	404	410	nódulo
es-S1130-05582017000200099-1	T4	SINTOMA	778	813	proliferación de células fusiformes
es-S0365-66912008000100007-2	T1	SINTOMA	307	319	convulsiones
es-S0365-66912008000100007-2	T2	SINTOMA	402	425	hipsarritmia asimétrica
es-S0365-66912008000100007-2	T3	SINTOMA	724	749	disco óptico colobomatoso
es-S0365-66912008000100007-2	T4	SINTOMA	761	798	áreas hipopigmentadas coriorretinales
es-S0365-66912008000100007-2	T5	SINTOMA	36	61	Cariotipo femenino normal
es-S0365-66912008000100007-2	T6	SINTOMA	465	586	papila completa en el ojo derecho, pigmento peripapilar y áreas de lagunas coriorretinianas hipopigmentadas peripapilares
es-S0365-66912008000100007-2	T7	SINTOMA	978	1007	retardo psicomotor muy severo
es-S1137-66272006000500012-1	T1	SINTOMA	546	556	consciente
es-S1137-66272006000500012-1	T2	SINTOMA	558	567	orientada
es-S1137-66272006000500012-1	T3	SINTOMA	570	580	febricular
es-S1137-66272006000500012-1	T4	SINTOMA	610	622	rubor facial
es-S1137-66272006000500012-1	T5	SINTOMA	625	656	inyección conjuntival bilateral
es-S1137-66272006000500012-1	T6	SINTOMA	1364	1374	linfopenia
es-S1137-66272006000500012-1	T7	SINTOMA	493	500	cefalea
es-S1137-66272006000500012-1	T8	SINTOMA	1035	1045	meningismo
es-S1137-66272006000500012-1	T9	SINTOMA	1052	1072	hepatoesplenomegalia
es-S1137-66272006000500012-1	T10	SINTOMA	1974	2006	presencia de parásitos hemáticos
es-S1137-66272006000500012-1	T11	SINTOMA	1616	1636	transaminitis de ALT
es-S1137-66272006000500012-1	T12	SINTOMA	1415	1435	linfocitos activados
es-S1137-66272006000500012-1	T13	SINTOMA	1500	1538	pruebas de coagulación fueron normales
es-S1137-66272006000500012-1	T14	SINTOMA	1649	1698	gota gruesa y la extensión sanguínea fue negativa
es-S1137-66272006000500012-1	T15	SINTOMA	1756	1782	AcIgM contra CMV negativos
es-S1137-66272006000500012-1	T16	SINTOMA	1784	1814	AcHBc, AgHBs y AgHBs negativos
es-S1137-66272006000500012-1	T17	SINTOMA	1816	1851	AcIgM contra P. falciparum negativo
es-S1137-66272006000500012-1	T18	SINTOMA	1854	1904	AcIgM contra dengue (IFI) que resultaron positivos
es-S1137-66272006000500012-1	T19	SINTOMA	1281	1299	plaquetas normales
es-S1130-63432016000100009-1	T1	SINTOMA	1242	1251	sangrados
es-S1139-76322015000300009-1	T1	SINTOMA	1932	1949	lesiones carpales
es-S1139-76322015000300009-1	T2	SINTOMA	618	646	problema óseo en las muñecas
es-S1139-76322015000300009-1	T3	SINTOMA	690	712	dolores en las muñecas
es-S1139-76322015000300009-1	T4	SINTOMA	255	273	dolor en las manos
es-S1139-76322015000300009-1	T5	SINTOMA	442	472	síntomas del aparato locomotor
es-S1139-76322015000300009-1	T6	SINTOMA	1391	1409	rasgos dismórficos
es-S1139-76322015000300009-1	T7	SINTOMA	1496	1516	signos inflamatorios
es-S1139-76322015000300009-1	T8	SINTOMA	1534	1585	gemidos ante la movilización repetida de esa muñeca
es-S1139-76322015000300009-1	T9	SINTOMA	181	195	llanto inusual
es-S1139-76322015000300009-1	T10	SINTOMA	518	555	radiografía normal de manos y muñecas
es-S1139-76322015000300009-1	T11	SINTOMA	956	968	emite gritos
es-S1139-76322015000300009-1	T12	SINTOMA	1181	1193	espasticidad
es-S1139-76322015000300009-1	T13	SINTOMA	998	1034	escucha y atiende cuando se le habla
es-S1139-76322015000300009-1	T14	SINTOMA	1036	1062	sonriendo con las caricias
es-S1139-76322015000300009-1	T15	SINTOMA	1080	1102	deambulación sin ayuda
es-S1139-76322015000300009-1	T16	SINTOMA	1320	1360	valores de presión arterial son normales
es-S1135-76062016000100006-1	T1	SINTOMA	5008	5040	sentimientos de escasa autovalía
es-S1135-76062016000100006-1	T2	SINTOMA	5043	5084	pensamientos relacionados con el abandono
es-S1135-76062016000100006-1	T3	SINTOMA	3156	3161	temor
es-S0212-71992006000700009-1	T1	SINTOMA	820	830	estuporosa
es-S0212-71992006000700009-1	T2	SINTOMA	832	840	ictérica
es-S0212-71992006000700009-1	T3	SINTOMA	998	1019	abdomen era globuloso
es-S0212-71992006000700009-1	T4	SINTOMA	1021	1067	doloroso a la palpación en hemiabdomen derecho
es-S0212-71992006000700009-1	T5	SINTOMA	965	993	Auscultación pulmonar normal
es-S0212-71992006000700009-1	T6	SINTOMA	1186	1198	leucocitosis
es-S0212-71992006000700009-1	T7	SINTOMA	1216	1227	neutrofilia
es-S0212-71992006000700009-1	T8	SINTOMA	957	963	soplos
es-S0212-71992006000700009-1	T9	SINTOMA	2283	2290	nódulos
es-S0212-71992006000700009-1	T10	SINTOMA	913	942	Auscultación cardiaca rítmica
es-S0212-71992006000700009-1	T11	SINTOMA	703	720	clínica digestiva
es-S0212-71992006000700009-1	T12	SINTOMA	1090	1111	irritación peritoneal
es-S0212-71992006000700009-1	T13	SINTOMA	2588	2653	Enterobacter cloacae, también aislado en sangre y muestra de PAAF
es-S0212-71992006000700009-1	T14	SINTOMA	2160	2166	exitus
es-S0212-71992006000700009-1	T15	SINTOMA	766	787	elevación de GGT y FA
es-S0212-71992006000700009-1	T16	SINTOMA	1636	1678	imágenes hipodensas en parénquima hepático
es-S0212-71992006000700009-1	T17	SINTOMA	847	867	hipotensión arterial
es-S0212-71992006000700009-1	T20	SINTOMA	152	169	deterioro clínico
es-S0365-66912006000600010-2	T1	SINTOMA	53	80	pérdida de visión bilateral
es-S0365-66912006000600010-2	T2	SINTOMA	397	423	escotoma central bilateral
es-S0365-66912006000600010-2	T3	SINTOMA	570	587	pérdida de visión
es-S0210-48062005000300016-2	T1	SINTOMA	839	850	diaforético
es-S0210-48062005000300016-2	T2	SINTOMA	61	73	dolor lumbar
es-S0210-48062005000300016-2	T3	SINTOMA	874	906	pulsaciones por minuto, rítmicas
es-S0210-48062005000300016-2	T4	SINTOMA	115	134	posición antiálgica
es-S0210-48062005000300016-2	T5	SINTOMA	222	229	náuseas
es-S0210-48062005000300016-2	T6	SINTOMA	1037	1058	irritación peritoneal
es-S0210-48062005000300016-2	T7	SINTOMA	232	239	vómitos
es-S0210-48062005000300016-2	T8	SINTOMA	1060	1074	RHA disminuido
es-S0210-48062005000300016-2	T9	SINTOMA	270	310	molestias en el tracto urinario inferior
es-S0210-48062005000300016-2	T10	SINTOMA	1080	1098	soplos abdominales
es-S0210-48062005000300016-2	T11	SINTOMA	1100	1131	Murphy renal bilateral negativo
es-S0210-48062005000300016-2	T12	SINTOMA	324	340	dolor precordial
es-S0210-48062005000300016-2	T13	SINTOMA	1147	1175	pulsos arteriales simétricos
es-S0210-48062005000300016-2	T14	SINTOMA	1181	1217	déficit de perfusión en extremidades
es-S0210-48062005000300016-2	T15	SINTOMA	1976	2007	alteraciones intra-peritoneales
es-S0210-48062005000300016-2	T16	SINTOMA	3262	3274	asintomático
es-S0210-48062005000300016-2	T17	SINTOMA	1546	1559	ritmo sinusal
es-S0210-48062005000300016-2	T18	SINTOMA	1219	1262	Examen neurológico general sin alteraciones
es-S0210-48062005000300016-2	T19	SINTOMA	1267	1305	ecografía renal no evidenció anomalías
es-S0210-48062005000300016-2	T20	SINTOMA	1490	1529	coagulación no presentaron alteraciones
es-S0210-48062005000300016-2	T21	SINTOMA	2636	2684	déficit de perfusión del polo inferior del riñón
es-S0210-48062005000300016-2	T22	SINTOMA	245	267	hematuria macroscópica
es-S0210-48062005000300016-2	T23	SINTOMA	661	703	molestias osteoarticulares o respiratorias
es-S0210-48062005000300016-2	T24	SINTOMA	932	1007	Abdomen doloroso a la palpación profunda en fosa ilíaca y flanco izquierdos
es-S0210-48062005000300016-2	T25	SINTOMA	1013	1020	defensa
es-S0210-48062005000300016-2	T26	SINTOMA	1709	1743	captación de contraste en el riñón
es-S0210-48062005000300016-2	T27	SINTOMA	3596	3632	déficit funcional de la unidad renal
es-S0210-48062005000300016-2	T28	SINTOMA	2753	2773	déficit de perfusión
es-S0210-48062005000300016-2	T29	SINTOMA	2987	3157	anticoagulante lúpico, ac. anti-cardiolipina, ANCA's, detección de crioglobulinas, ANA's, determinación de inmunoglobulinas y fracciones del complemento) resultó negativo
es-S0365-66912009000300010-1	T2	SINTOMA	78	108	disminución de la AV bilateral
es-S0365-66912009000300010-1	T3	SINTOMA	111	118	cefalea
es-S0365-66912009000300010-1	T4	SINTOMA	862	894	hipofluorescencia en la coroides
es-S0365-66912009000300010-1	T5	SINTOMA	966	988	hipoperfusión coroidea
es-S0365-66912009000300010-1	T6	SINTOMA	1066	1089	engrosamiento retiniano
es-S0365-66912009000300010-1	T7	SINTOMA	364	404	pupilas son isocóricas y normorreactivas
es-S0365-66912009000300010-1	T8	SINTOMA	410	452	biomicroscopía del polo anterior es normal
es-S0365-66912009000300010-1	T9	SINTOMA	1645	1688	HLA B-7 y HLA DR2, que resultó ser positivo
es-S0365-66912009000300010-1	T10	SINTOMA	1094	1153	hiperreflectividad a nivel de las capas retinianas externas
es-S0365-66912009000300010-1	T11	SINTOMA	1907	1946	leve limitación de la abducción del ojo
es-S0365-66912009000300010-1	T12	SINTOMA	2314	2365	aumento de la reflectividad retiniana en ambos ojos
es-S0365-66912009000300010-1	T13	SINTOMA	209	222	cuadro gripal
es-S0365-66912009000300010-1	T14	SINTOMA	298	322	ojo derecho es de bultos
es-S0365-66912009000300010-1	T15	SINTOMA	673	728	áreas de hipofluorescencia marcadas en tiempos precoces
es-S0365-66912009000300010-1	T16	SINTOMA	750	796	áreas de hiperfluorescencia en tiempos tardíos
es-S0365-66912009000300010-1	T17	SINTOMA	1803	1831	diplopía en la visión lejana
es-S0365-66912009000300010-1	T18	SINTOMA	2118	2126	diplopía
es-S0365-66912009000300010-1	T19	SINTOMA	2148	2156	diplopía
es-S0365-66912009000300010-1	T20	SINTOMA	1290	1305	cefalea intensa
es-S1889-836X2016000100006-1	T1	SINTOMA	926	938	asintomático
es-S1889-836X2016000100006-1	T2	SINTOMA	1006	1021	escleras azules
es-S1889-836X2016000100006-1	T3	SINTOMA	1198	1210	hiperlaxitud
es-S1889-836X2016000100006-1	T4	SINTOMA	1261	1323	niveles normales de calcio, fósforo, calciuria, y parathormona
es-S1889-836X2016000100006-1	T5	SINTOMA	1336	1410	niveles de 25 hidroxivitamina D (25OHCC) estaban en rango de insuficiencia
es-S1889-836X2016000100006-1	T6	SINTOMA	1456	1516	marcadores de remodelado óseo se encontraban en rango normal
es-S1889-836X2016000100006-1	T7	SINTOMA	1888	1939	pruebas de función respiratoria resultaron normales
es-S1889-836X2016000100006-1	T8	SINTOMA	2157	2212	gen COL1A1 una deleción en heterocigosis de una Guanina
es-S1889-836X2016000100006-1	T9	SINTOMA	1779	1811	cambios degenerativos en columna
es-S1889-836X2016000100006-1	T10	SINTOMA	1849	1882	dilatación de la aorta ascendente
es-S1130-05582013000400006-1	T1	SINTOMA	84	100	tumoración malar
es-S1130-05582013000400006-1	T2	SINTOMA	1999	2011	asintomático
es-S1130-05582013000400006-1	T3	SINTOMA	126	134	dolorosa
es-S1130-05582013000400006-1	T4	SINTOMA	1582	1600	consolidación ósea
es-S1130-05582013000400006-1	T5	SINTOMA	648	666	expansión cortical
es-S1139-76322013000400008-1	T1	SINTOMA	349	359	odinofagia
es-S1139-76322013000400008-1	T2	SINTOMA	1475	1487	asintomática
es-S1139-76322013000400008-1	T3	SINTOMA	1292	1334	examen de heces no se observaron parásitos
es-S1139-76322013000400008-1	T4	SINTOMA	904	1002	bioquímica, hemograma, velocidad de sedimentación globular, hormonas tiroideas y orina) fue normal
es-S0211-69952013000200025-1	T1	SINTOMA	687	694	anúrica
es-S0211-69952013000200025-1	T2	SINTOMA	700	720	elevación de azoados
es-S0211-69952013000200025-1	T3	SINTOMA	786	796	hipocromía
es-S0211-69952013000200025-1	T4	SINTOMA	798	810	anisocitosis
es-S0211-69952013000200025-1	T5	SINTOMA	812	824	microcitosis
es-S0211-69952013000200025-1	T6	SINTOMA	827	837	dianocitos
es-S0211-69952013000200025-1	T7	SINTOMA	517	526	hipotensa
es-S0211-69952013000200025-1	T8	SINTOMA	723	742	acidosis metabólica
es-S0211-69952013000200025-1	T9	SINTOMA	321	330	fallecido
es-S0211-69952013000200025-1	T10	SINTOMA	1049	1108	buena perfusión vascular, pero índices de resistencia altos
es-S0211-69952013000200025-1	T15	SINTOMA	1829	1856	mejoría de la función renal
es-S1139-76322015000400008-1	T1	SINTOMA	22	43	molestias abdominales
es-S1139-76322015000400008-1	T2	SINTOMA	547	562	dolor abdominal
es-S1139-76322015000400008-1	T3	SINTOMA	269	307	dolor abdominal en hemiabdomen derecho
es-S1139-76322015000400008-1	T4	SINTOMA	1414	1443	deterioro de la función renal
es-S1139-76322015000400008-1	T5	SINTOMA	1015	1039	aumento del tamaño renal
es-S1139-76322015000400008-1	T6	SINTOMA	680	692	asintomático
es-S1139-76322015000400008-1	T7	SINTOMA	212	235	sintomatología urinaria
es-S1139-76322015000400008-1	T8	SINTOMA	476	518	Sedimento de orina y urinocultivo normales
es-S1139-76322015000400008-1	T9	SINTOMA	1111	1128	dilatación de vía
es-S0376-78922007000400008-1	T1	SINTOMA	174	211	edemas en las extremidades inferiores
es-S0376-78922007000400008-1	T2	SINTOMA	213	233	distensión abdominal
es-S0376-78922007000400008-1	T3	SINTOMA	236	245	febrícula
es-S0376-78922007000400008-1	T4	SINTOMA	287	294	astenia
es-S0376-78922007000400008-1	T5	SINTOMA	351	358	náuseas
es-S0376-78922007000400008-1	T6	SINTOMA	360	367	vómitos
es-S0376-78922007000400008-1	T7	SINTOMA	370	377	diarrea
es-S0376-78922007000400008-1	T8	SINTOMA	502	541	edemas en ambas extremidades inferiores
es-S0376-78922007000400008-1	T9	SINTOMA	601	608	eritema
es-S0376-78922007000400008-1	T10	SINTOMA	1589	1595	fiebre
es-S0376-78922007000400008-1	T11	SINTOMA	1689	1694	dolor
es-S0376-78922007000400008-1	T12	SINTOMA	1778	1811	empeoramiento en la función renal
es-S0376-78922007000400008-1	T13	SINTOMA	1899	1911	leucocitosis
es-S0376-78922007000400008-1	T14	SINTOMA	1950	1980	alteraciones en la coagulación
es-S0376-78922007000400008-1	T15	SINTOMA	2091	2154	hemocultivo realizado al ingreso se aísla Estreptococo Pyogenes
es-S0376-78922007000400008-1	T16	SINTOMA	2306	2332	inestabilidad hemodinámica
es-S0376-78922007000400008-1	T17	SINTOMA	1057	1092	radiografía de tórax que era normal
es-S0376-78922007000400008-1	T18	SINTOMA	2988	2995	fallece
es-S0376-78922007000400008-1	T19	SINTOMA	622	631	equímosis
es-S0376-78922007000400008-1	T20	SINTOMA	610	619	petequias
es-S1130-01082008000900015-1	T1	SINTOMA	182	192	consciente
es-S1130-01082008000900015-1	T2	SINTOMA	714	797	área hiperactiva focal en fosa iliaca derecha adyacente a la arteria iliaca derecha
es-S1130-01082008000900015-1	T3	SINTOMA	222	249	abdomen blando y depresible
es-S1130-01082008000900015-1	T4	SINTOMA	195	204	orientado
es-S1130-01082008000900015-1	T5	SINTOMA	1127	1147	signos inflamatorios
es-S1130-01082008000900015-1	T6	SINTOMA	135	167	deposición melénica-rectorrágica
es-S1130-01082008000900015-1	T7	SINTOMA	401	432	gastroscopia que resultó normal
es-S1130-01082008000900015-1	T8	SINTOMA	251	294	tacto rectal positivo para restos hemáticos
es-S1130-01082008000900015-1	T9	SINTOMA	101	116	cuadro sincopal
es-S1130-01082008000900015-1	T10	SINTOMA	828	852	mucosa gástrica ectópica
es-S1130-01082008000900015-1	T11	SINTOMA	1448	1476	mucosa gástrica heterotópica
es-S0210-48062004000900010-1	T1	SINTOMA	307	326	buen estado general
es-S0210-48062004000900010-1	T2	SINTOMA	2090	2151	Lowenstein en orina: Positivo para Mycobacterium tuberculosis
es-S0210-48062004000900010-1	T3	SINTOMA	1747	1794	cara lateral izquierda de vejiga una tumoración
es-S0210-48062004000900010-1	T4	SINTOMA	3079	3143	polo inferior del riñón izquierdo con disminución de la cortical
es-S0210-48062004000900010-1	T5	SINTOMA	276	285	hematuria
es-S0210-48062004000900010-1	T6	SINTOMA	2780	2816	cambios crónicos en ambos epidídimos
es-S0210-48062004000900010-1	T7	SINTOMA	1118	1138	riñón derecho normal
es-S0210-48062004000900010-1	T8	SINTOMA	1246	1269	vesical se aprecia masa
es-S0210-48062004000900010-1	T9	SINTOMA	2677	2697	Lowenstein negativos
es-S0210-48062004000900010-1	T10	SINTOMA	3247	3286	Uréteres de calibre y morfología normal
es-S0210-48062004000900010-1	T11	SINTOMA	3348	3389	cultivos de orina en Löwenstein negativos
es-S0210-48062004000900010-1	T12	SINTOMA	696	725	coagulación: sin alteraciones
es-S0210-48062004000900010-1	T13	SINTOMA	727	755	Bioquímica: sin alteraciones
es-S0210-48062004000900010-1	T14	SINTOMA	924	953	citologías de orina negativas
es-S0210-48062004000900010-1	T15	SINTOMA	1601	1634	uréter presenta apariencia normal
es-S0210-48062004000900010-1	T16	SINTOMA	2607	2671	exudado en teste izquierdo en cuya tinción no se observaron BAAR
